Scann subnet 203.68.248.0-203.68.249.254 with 20 threads
203.68.248.2, ping: success, ports: 8080
203.68.249.7, ping: failure, ports: 80
203.68.249.9, ping: failure, ports: 80
203.68.249.215, ping: failure, ports: 80
203.68.249.217, ping: failure, ports: 80
203.68.249.193, ping: success, ports: 80
203.68.248.248, ping: failure, ports: 80
203.68.249.119, ping: failure, ports: 80
203.68.249.196, ping: failure, ports: 80
203.68.249.197, ping: failure, ports: 80
203.68.249.172, ping: failure, ports: 80
203.68.249.198, ping: failure, ports: 80
203.68.249.173, ping: failure, ports: 80
203.68.249.22, ping: failure, ports: 80
203.68.249.200, ping: failure, ports: 80
203.68.249.100, ping: failure, ports: 80
203.68.248.254, ping: success, ports: not found
203.68.249.101, ping: failure, ports: 80
203.68.249.102, ping: failure, ports: 80
203.68.249.203, ping: failure, ports: 80
203.68.249.2, ping: success, ports: 8080
203.68.249.254, ping: success, ports: not found
Statistics:
Scanned 511 from 511, found online 22
